<13>1 2023-06-21T07:29:10.987659Z - schedule_manager 749 - - [0us][DEBUG][tid:0][ScheduleManager.cpp:277][ScheduleManager] Clone Manager: Start state machine msg is not received, SWC NAME : schedule_manager
<13>1 2023-06-21T07:29:10.997938Z - schedule_manager 749 - - [0us][DEBUG][tid:0][ScheduleManager.cpp:277][ScheduleManager] Clone Manager: Start state machine msg is not received, SWC NAME : schedule_manager
<13>1 2023-06-21T07:29:11.8377Z - schedule_manager 749 - - [0us][DEBUG][tid:0][ScheduleManager.cpp:277][ScheduleManager] Clone Manager: Start state machine msg is not received, SWC NAME : schedule_manager
<13>1 2023-06-21T07:29:11.18568Z - schedule_manager 749 - - [0us][DEBUG][tid:0][ScheduleManager.cpp:277][ScheduleManager] Clone Manager: Start state machine msg is not received, SWC NAME : schedule_manager
<13>1 2023-06-21T07:29:11.28931Z - schedule_manager 749 - - [0us][DEBUG][tid:0][ScheduleManager.cpp:277][ScheduleManager] Clone Manager: Start state machine msg is not received, SWC NAME : schedule_manager
<13>1 2023-06-21T07:29:11.39376Z - schedule_manager 749 - - [0us][DEBUG][tid:0][ScheduleManager.cpp:277][ScheduleManager] Clone Manager: Start state machine msg is not received, SWC NAME : schedule_manager
<13>1 2023-06-21T07:29:11.49724Z - schedule_manager 749 - - [0us][DEBUG][tid:0][ScheduleManager.cpp:277][ScheduleManager] Clone Manager: Start state machine msg is not received, SWC NAME : schedule_manager
<13>1 2023-06-21T07:29:11.60255Z - schedule_manager 749 - - [0us][DEBUG][tid:0][ScheduleManager.cpp:277][ScheduleManager] Clone Manager: Start state machine msg is not received, SWC NAME : schedule_manager
<13>1 2023-06-21T07:29:11.70833Z - schedule_manager 749 - - [0us][DEBUG][tid:0][ScheduleManager.cpp:277][ScheduleManager] Clone Manager: Start state machine msg is not received, SWC NAME : schedule_manager
<13>1 2023-06-21T07:29:11.81438Z - schedule_manager 749 - - [0us][DEBUG][tid:0][ScheduleManager.cpp:277][ScheduleManager] Clone Manager: Start state machine msg is not received, SWC NAME : schedule_manager
<13>1 2023-06-21T07:29:11.91977Z - schedule_manager 749 - - [0us][DEBUG][tid:0][ScheduleManager.cpp:277][ScheduleManager] Clone Manager: Start state machine msg is not received, SWC NAME : schedule_manager
<13>1 2023-06-21T07:29:11.102884Z - schedule_manager 749 - - [0us][DEBUG][tid:0][ScheduleManager.cpp:277][ScheduleManager] Clone Manager: Start state machine msg is not received, SWC NAME : schedule_manager
<13>1 2023-06-21T07:29:11.113416Z - schedule_manager 749 - - [0us][DEBUG][tid:0][ScheduleManager.cpp:277][ScheduleManager] Clone Manager: Start state machine msg is not received, SWC NAME : schedule_manager
